,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Goal_diff
70,2019-04-14,14:05 (09:05),Premier League,Matchweek 34,Sun,Away,W,3.0,1.0,Crystal Palace,2.5,0.4,73.0,Vincent Kompany,4-2-3-1,Martin Atkinson,20,6,30.0,0.15,0.5,19.9,0.0,0,0,season 2,2.0
71,2019-04-20,12:30 (07:30),Premier League,Matchweek 35,Sat,Home,W,1.0,0.0,Tottenham,1.9,1.0,61.0,Sergio Agüero,4-3-3-0,Michael Oliver,15,4,26.7,0.07,0.25,16.2,0.0,0,0,season 2,1.0
72,2019-04-24,20:00 (15:00),Premier League,Matchweek 31,Wed,Away,W,2.0,0.0,Manchester Utd,0.5,0.5,63.0,Vincent Kompany,4-3-3-0,Andre Marriner,8,5,62.5,0.25,0.4,18.6,0.0,0,0,season 2,2.0
73,2019-04-28,14:05 (09:05),Premier League,Matchweek 36,Sun,Away,W,1.0,0.0,Burnley,2.5,0.1,69.0,Vincent Kompany,4-3-3-0,Paul Tierney,25,6,24.0,0.04,0.17,15.4,0.0,0,0,season 2,1.0
74,2019-05-06,20:00 (15:00),Premier League,Matchweek 37,Mon,Home,W,1.0,0.0,Leicester City,1.0,0.5,61.0,Vincent Kompany,4-3-3-0,Mike Dean,19,5,26.3,0.05,0.2,20.2,0.0,0,0,season 2,1.0
75,2019-05-12,15:00 (10:00),Premier League,Matchweek 38,Sun,Away,W,4.0,1.0,Brighton,1.6,0.5,75.0,Vincent Kompany,4-4-1-1,Michael Oliver,20,9,45.0,0.2,0.44,18.9,2.0,0,0,season 2,3.0
76,2019-08-10,12:30 (07:30),Premier League,Matchweek 1,Sat,Away,W,5.0,0.0,West Ham,3.2,1.1,57.0,David Silva,4-3-3-0,Mike Dean,13,8,61.5,0.31,0.5,16.7,0.0,1,1,season 3,5.0
77,2019-08-17,17:30 (12:30),Premier League,Matchweek 2,Sat,Home,D,2.0,2.0,Tottenham,2.9,0.1,55.0,Kevin De Bruyne,4-2-3-1,Michael Oliver,30,10,33.3,0.07,0.2,15.4,0.0,0,0,season 3,0.0
78,2019-08-25,14:00 (09:00),Premier League,Matchweek 3,Sun,Away,W,3.0,1.0,Bournemouth,3.0,2.2,74.0,David Silva,4-3-3-0,Andre Marriner,18,5,27.8,0.17,0.6,14.8,0.0,0,0,season 3,2.0
79,2019-08-31,15:00 (10:00),Premier League,Matchweek 4,Sat,Home,W,4.0,0.0,Brighton,1.9,0.9,53.0,David Silva,4-3-3-0,Jonathan Moss,15,6,40.0,0.27,0.67,15.4,1.0,0,0,season 3,4.0
80,2019-09-14,17:30 (12:30),Premier League,Matchweek 5,Sat,Away,L,2.0,3.0,Norwich City,2.3,1.5,68.0,David Silva,4-2-3-1,Kevin Friend,25,8,32.0,0.08,0.25,15.1,0.0,0,0,season 3,-1.0
81,2019-09-21,15:00 (10:00),Premier League,Matchweek 6,Sat,Home,W,8.0,0.0,Watford,5.9,0.4,68.0,David Silva,4-3-3-0,Mike Dean,27,10,37.0,0.26,0.7,14.9,2.0,1,1,season 3,8.0
82,2019-09-28,17:30 (12:30),Premier League,Matchweek 7,Sat,Away,W,3.0,1.0,Everton,2.8,2.4,63.0,Fernandinho,4-3-3-0,Michael Oliver,19,8,42.1,0.16,0.38,14.7,1.0,0,0,season 3,2.0
