,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Victory,Opponent,Formation
56,Away,L,1.0,2.0,Leicester City,1.4,1.3,66.0,4-3-3-0,11,4,36.4,0.09,0.25,18.7,0.0,0,0,0,0.8181793904883048,0.7916666666666666
57,Away,W,3.0,1.0,Southampton,2.5,0.2,76.0,4-3-3-0,14,6,42.9,0.14,0.33,12.8,0.0,0,0,1,0.7272744266581868,0.7916666666666666
58,Home,W,2.0,1.0,Liverpool,1.1,1.5,49.0,4-3-3-0,9,4,44.4,0.22,0.5,21.8,0.0,0,0,1,0.3636545713377149,0.7916666666666666
59,Home,W,3.0,0.0,Wolves,2.8,0.1,76.0,4-3-3-0,23,8,34.8,0.04,0.13,20.3,0.0,1,1,1,0.6666995441304379,0.7916666666666666
60,Away,W,3.0,0.0,Huddersfield,2.0,0.9,67.0,4-3-3-0,12,4,33.3,0.25,0.75,13.8,0.0,0,0,1,0.7506974393114348,0.7916666666666666
61,Away,L,1.0,2.0,Newcastle Utd,1.4,1.1,75.0,4-3-3-0,12,3,25.0,0.08,0.33,16.2,1.0,0,0,0,0.7272744266581868,0.7916666666666666
62,Home,W,3.0,1.0,Arsenal,2.7,0.7,59.0,4-3-3-0,19,12,63.2,0.16,0.25,17.5,1.0,0,0,1,0.9999709659821209,0.7916666666666666
63,Away,W,2.0,0.0,Everton,2.2,0.1,61.0,4-3-3-0,15,4,26.7,0.13,0.5,13.3,0.0,0,0,1,0.8999833054397195,0.7916666666666666
64,Home,W,6.0,0.0,Chelsea,3.0,0.9,56.0,4-3-3-0,14,8,57.1,0.36,0.63,16.5,1.0,1,1,1,0.7000079843549167,0.7916666666666666
65,Home,W,1.0,0.0,West Ham,3.5,0.4,75.0,4-3-3-0,19,5,26.3,0.0,0.0,15.8,0.0,1,1,1,0.8181793904883048,0.7916666666666666
66,Away,W,1.0,0.0,Bournemouth,1.2,0.0,81.0,4-3-3-0,23,7,30.4,0.04,0.14,17.9,0.0,0,0,1,0.9994182063160859,0.7916666666666666
67,Home,W,3.0,1.0,Watford,3.4,0.2,71.0,4-3-3-0,19,8,42.1,0.16,0.38,15.8,1.0,0,0,1,0.9997856350130823,0.7916666666666666
68,Away,W,2.0,0.0,Fulham,1.8,0.5,65.0,4-3-3-0,24,7,29.2,0.08,0.29,18.3,1.0,0,0,1,0.995767950597155,0.7916666666666666
69,Home,W,2.0,0.0,Cardiff City,3.2,0.1,79.0,4-3-3-0,27,11,40.7,0.07,0.18,18.1,2.0,0,0,1,0.9367196655600012,0.7916666666666666
70,Away,W,3.0,1.0,Crystal Palace,2.5,0.4,73.0,4-2-3-1,20,6,30.0,0.15,0.5,19.9,0.0,0,0,1,0.5454644989979508,0.6666666666666667
71,Home,W,1.0,0.0,Tottenham,1.9,1.0,61.0,4-3-3-0,15,4,26.7,0.07,0.25,16.2,0.0,0,0,1,0.500032663270114,0.7916666666666666
72,Away,W,2.0,0.0,Manchester Utd,0.5,0.5,63.0,4-3-3-0,8,5,62.5,0.25,0.4,18.6,0.0,0,0,1,0.5454644989979508,0.7916666666666666
73,Away,W,1.0,0.0,Burnley,2.5,0.1,69.0,4-3-3-0,25,6,24.0,0.04,0.17,15.4,0.0,0,0,1,0.8999833054397195,0.7916666666666666
74,Home,W,1.0,0.0,Leicester City,1.0,0.5,61.0,4-3-3-0,19,5,26.3,0.05,0.2,20.2,0.0,0,0,1,0.8181793904883048,0.7916666666666666
75,Away,W,4.0,1.0,Brighton,1.6,0.5,75.0,4-4-1-1,20,9,45.0,0.2,0.44,18.9,2.0,0,0,1,0.9090843543184226,0.9367196655600012
76,Away,W,5.0,0.0,West Ham,3.2,1.1,57.0,4-3-3-0,13,8,61.5,0.31,0.5,16.7,0.0,1,1,1,0.8181793904883048,0.7916666666666666
77,Home,D,2.0,2.0,Tottenham,2.9,0.1,55.0,4-2-3-1,30,10,33.3,0.07,0.2,15.4,0.0,0,0,0,0.500032663270114,0.6666666666666667
78,Away,W,3.0,1.0,Bournemouth,3.0,2.2,74.0,4-3-3-0,18,5,27.8,0.17,0.6,14.8,0.0,0,0,1,0.9994182063160859,0.7916666666666666
