Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2020-02-02,16:30 (11:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,0,18,4,22.2,0,0,15.2,0,0,1,2.4,1.9,0.12,-2.4,-1.9
2020-02-19,19:30 (14:30),Matchweek 26,Wed,Home,W,2,0,West Ham,2,20,7,35,0.1,0.29,15,0,0,0,2.1,2.1,0.11,-0.1,-0.1
2020-02-22,17:30 (12:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,1,17,6,35.3,0.06,0.17,21.1,2,0,1,2.4,1.7,0.1,-1.4,-0.7
2020-03-08,16:30 (12:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,0,7,4,57.1,0,0,16.9,0,0,0,0.6,0.6,0.09,-0.6,-0.6
2020-06-17,20:15 (15:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,3,19,11,57.9,0.11,0.18,18.3,2,1,1,2.6,1.9,0.11,+0.4,+0.1
2020-06-22,20:00 (15:00),Matchweek 30,Mon,Home,W,5,0,Burnley,5,18,6,33.3,0.22,0.67,19.6,1,1,1,2.4,1.6,0.09,+2.6,+2.4
2020-06-25,20:15 (15:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,1,11,2,18.2,0.09,0.5,21.4,1,0,0,0.8,0.8,0.07,+0.2,+0.2
2020-07-02,20:15 (15:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,3,13,4,30.8,0.15,0.5,17.5,0,1,1,2.4,1.6,0.13,+0.6,+0.4
2020-07-05,19:00 (14:00),Matchweek 33,Sun,Away,L,0,1,Southampton,0,26,6,23.1,0,0,15.4,1,0,0,3.2,3.2,0.13,-3.2,-3.2
2020-07-08,18:00 (13:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,4,23,9,39.1,0.17,0.44,15.9,1,0,0,2.8,2.8,0.12,+1.2,+1.2
2020-07-11,20:00 (15:00),Matchweek 35,Sat,Away,W,5,0,Brighton,5,26,8,30.8,0.19,0.63,13.6,1,0,0,4.4,4.4,0.18,+0.6,+0.6
2020-07-15,18:00 (13:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,2,8,4,50,0.25,0.5,15.8,1,0,0,0.7,0.7,0.08,+1.3,+1.3
2020-07-21,18:00 (13:00),Matchweek 37,Tue,Away,W,4,0,Watford,4,25,9,36,0.16,0.44,17.4,1,0,1,3.3,2.4,0.1,+0.7,+1.6
2020-07-26,16:00 (11:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,5,31,9,29,0.16,0.56,15.3,0,0,0,3.2,3.2,0.11,+1.8,+1.8
2020-09-21,20:15 (15:15),Matchweek 2,Mon,Away,W,3,1,Wolves,3,13,8,61.5,0.15,0.25,21.1,2,1,1,1.9,1.1,0.09,+1.1,+0.9
2020-09-27,16:30 (11:30),Matchweek 3,Sun,Home,L,2,5,Leicester City,2,16,5,31.3,0.13,0.4,19.8,1,0,0,0.9,0.9,0.05,+1.1,+1.1
2020-10-03,17:30 (12:30),Matchweek 4,Sat,Away,D,1,1,Leeds United,1,23,1,4.3,0.04,1,18.2,1,0,0,1.2,1.2,0.05,-0.2,-0.2
2020-10-17,17:30 (12:30),Matchweek 5,Sat,Home,W,1,0,Arsenal,1,13,5,38.5,0.08,0.2,17.7,0,0,0,1.3,1.3,0.11,-0.3,-0.3
2020-10-24,12:30 (07:30),Matchweek 6,Sat,Away,D,1,1,West Ham,1,14,7,50,0.07,0.14,20.9,1,0,0,1,1,0.07,0,0
2020-10-31,12:30 (08:30),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1,16,8,50,0.06,0.13,18.5,2,0,0,1.6,1.6,0.1,-0.6,-0.6
2020-11-08,16:30 (11:30),Matchweek 8,Sun,Home,D,1,1,Liverpool,1,6,2,33.3,0.17,0.5,20.6,0,0,1,1.4,0.6,0.1,-0.4,+0.4
2020-11-21,17:30 (12:30),Matchweek 9,Sat,Away,L,0,2,Tottenham,0,22,5,22.7,0,0,16,0,0,0,1.4,1.4,0.07,-1.4,-1.4
2020-11-28,15:00 (10:00),Matchweek 10,Sat,Home,W,5,0,Burnley,5,19,6,31.6,0.26,0.83,16.4,0,0,0,1.7,1.7,0.09,+3.3,+3.3
2020-12-05,15:00 (10:00),Matchweek 11,Sat,Home,W,2,0,Fulham,2,14,4,28.6,0.07,0.25,15.9,0,1,1,2.9,2.1,0.15,-0.9,-1.1
2020-12-12,17:30 (12:30),Matchweek 12,Sat,Away,D,0,0,Manchester Utd,0,9,2,22.2,0,0,18.3,1,0,0,1.3,1.3,0.15,-1.3,-1.3
2020-12-15,20:00 (15:00),Matchweek 13,Tue,Home,D,1,1,West Brom,1,26,7,26.9,0.04,0.14,17.1,2,0,0,2.2,2.2,0.09,-1.2,-1.2
2020-12-19,15:00 (10:00),Matchweek 14,Sat,Away,W,1,0,Southampton,1,11,5,45.5,0.09,0.2,20.1,0,0,0,0.9,0.9,0.08,+0.1,+0.1
2020-12-26,20:00 (15:00),Matchweek 15,Sat,Home,W,2,0,Newcastle Utd,2,11,6,54.5,0.18,0.33,12.3,0,0,0,3,3,0.27,-1,-1
2021-01-03,16:30 (11:30),Matchweek 17,Sun,Away,W,3,1,Chelsea,3,18,6,33.3,0.17,0.5,15.1,1,0,0,2.7,2.7,0.15,+0.3,+0.3
2021-01-13,18:00 (13:00),Matchweek 18,Wed,Home,W,1,0,Brighton,1,15,6,40,0.07,0.17,16.9,0,0,1,2,1.2,0.08,-1,-0.2
2021-01-17,19:15 (14:15),Matchweek 19,Sun,Home,W,4,0,Crystal Palace,4,13,6,46.2,0.31,0.67,19.1,2,0,0,0.7,0.7,0.05,+3.3,+3.3
2021-01-20,18:00 (13:00),Matchweek 1,Wed,Home,W,2,0,Aston Villa,2,27,8,29.6,0.04,0.13,15.8,0,1,1,3.4,2.6,0.11,-1.4,-1.6
2021-01-26,20:15 (15:15),Matchweek 20,Tue,Away,W,5,0,West Brom,5,18,7,38.9,0.28,0.71,17.4,0,0,0,1.8,1.8,0.1,+3.2,+3.2
2021-01-30,15:00 (10:00),Matchweek 21,Sat,Home,W,1,0,Sheffield Utd,1,10,5,50,0.1,0.2,17.2,0,0,0,1.5,1.5,0.16,-0.5,-0.5
2021-02-03,18:00 (13:00),Matchweek 22,Wed,Away,W,2,0,Burnley,2,13,6,46.2,0.15,0.33,15.5,0,0,0,2,2,0.16,0,0
2021-02-07,16:30 (11:30),Matchweek 23,Sun,Away,W,4,1,Liverpool,4,7,5,71.4,0.57,0.8,13.4,0,0,1,3.5,2.7,0.42,+0.5,+1.3
2021-02-13,17:30 (12:30),Matchweek 24,Sat,Home,W,3,0,Tottenham,3,14,5,35.7,0.14,0.4,16.3,0,1,1,2.2,1.4,0.1,+0.8,+0.6
2021-02-17,20:15 (15:15),Matchweek 16,Wed,Away,W,3,1,Everton,3,16,7,43.8,0.19,0.43,17.9,0,0,0,1,1,0.06,+2.0,+2.0
2021-02-21,16:30 (11:30),Matchweek 25,Sun,Away,W,1,0,Arsenal,1,15,3,20,0.07,0.33,16.2,0,0,0,1.8,1.8,0.12,-0.8,-0.8
2021-02-27,12:30 (07:30),Matchweek 26,Sat,Home,W,2,1,West Ham,2,10,3,30,0.2,0.67,20.4,0,0,0,0.5,0.5,0.05,+1.5,+1.5
2021-03-02,20:00 (15:00),Matchweek 29,Tue,Home,W,4,1,Wolves,3,22,10,45.5,0.14,0.3,14.6,0,0,0,3.3,3.3,0.15,-0.3,-0.3
2021-03-07,16:30 (11:30),Matchweek 27,Sun,Home,L,0,2,Manchester Utd,0,23,6,26.1,0,0,18.7,1,0,0,1.3,1.3,0.06,-1.3,-1.3
2021-03-10,18:00 (13:00),Matchweek 33,Wed,Home,W,5,2,Southampton,5,17,10,58.8,0.29,0.5,16,0,0,0,2.6,2.6,0.16,+2.4,+2.4
2021-03-13,20:00 (15:00),Matchweek 28,Sat,Away,W,3,0,Fulham,3,7,6,85.7,0.29,0.33,15.3,0,1,1,2.2,1.4,0.2,+0.8,+0.6
2021-04-03,17:30 (12:30),Matchweek 30,Sat,Away,W,2,0,Leicester City,2,11,4,36.4,0.18,0.5,14.5,1,0,0,1.4,1.4,0.13,+0.6,+0.6
2021-04-10,12:30 (07:30),Matchweek 31,Sat,Home,L,1,2,Leeds United,1,29,7,24.1,0.03,0.14,18.9,1,0,0,2.1,2.1,0.07,-1.1,-1.1
2021-04-21,20:15 (15:15),Matchweek 32,Wed,Away,W,2,1,Aston Villa,2,13,3,23.1,0.15,0.67,19.3,2,0,0,1.2,1.2,0.09,+0.8,+0.8
2021-05-01,12:30 (07:30),Matchweek 34,Sat,Away,W,2,0,Crystal Palace,2,20,3,15,0.1,0.67,14.6,1,0,0,1.7,1.7,0.09,+0.3,+0.3
2021-05-08,17:30 (12:30),Matchweek 35,Sat,Home,L,1,2,Chelsea,1,15,3,20,0.07,0.33,20,0,0,1,1.8,1,0.07,-0.8,0
2021-05-14,20:00 (15:00),Matchweek 36,Fri,Away,W,4,3,Newcastle Utd,4,15,6,40,0.27,0.67,20,1,0,0,1.5,1.5,0.1,+2.5,+2.5
2021-05-18,19:00 (14:00),Matchweek 37,Tue,Away,L,2,3,Brighton,2,8,4,50,0.25,0.5,14.2,1,0,0,0.9,0.9,0.12,+1.1,+1.1
2021-05-23,16:00 (11:00),Matchweek 38,Sun,Home,W,5,0,Everton,5,21,11,52.4,0.24,0.45,15.6,0,0,0,2.5,2.5,0.12,+2.5,+2.5
