Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-12-15,16:30 (11:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,1.3,0.5,57,60031,Fernandinho,4-2-3-1,Paul Tierney,Match Report,
2019-12-21,17:30 (12:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,3.3,1.1,62,54415,Fernandinho,4-2-3-1,Mike Dean,Match Report,
2019-12-27,19:45 (14:45),Matchweek 19,Fri,Away,L,2,3,Wolves,1.5,2.6,38,31737,Fernandinho,4-2-3-1,Martin Atkinson,Match Report,
2019-12-29,18:00 (13:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,1.1,1.1,72,54512,Fernandinho,4-3-3-0,Chris Kavanagh,Match Report,
2020-01-01,17:30 (12:30),Matchweek 21,Wed,Home,W,2,1,Everton,1.5,1,65,54407,Fernandinho,3-4-3-0,Andre Marriner,Match Report,
2020-01-12,16:30 (11:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,2.8,1.1,70,41823,David Silva,4-3-3-0,Jonathan Moss,Match Report,
2020-01-18,15:00 (10:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,2.6,0.4,72,54439,David Silva,4-3-3-0,Graham Scott,Match Report,
2020-01-21,19:30 (14:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,2.8,0.8,66,31285,Fernandinho,3-4-3-0,Lee Mason,Match Report,
2020-02-02,16:30 (11:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,2.4,0.3,67,61022,Fernandinho,4-3-3-0,Mike Dean,Match Report,
2020-02-19,19:30 (14:30),Matchweek 26,Wed,Home,W,2,0,West Ham,2.1,0.1,77,52159,David Silva,4-3-3-0,Kevin Friend,Match Report,
2020-02-22,17:30 (12:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,2.4,0.8,67,32068,Fernandinho,4-3-3-0,Paul Tierney,Match Report,
2020-03-08,16:30 (12:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,0.6,1.6,72,73288,Fernandinho,4-3-3-0,Mike Dean,Match Report,
2020-06-17,20:15 (15:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,2.6,0.3,67,,David Silva,4-3-3-0,Anthony Taylor,Match Report,
2020-06-22,20:00 (15:00),Matchweek 30,Mon,Home,W,5,0,Burnley,2.4,0,71,,David Silva,4-3-3-0,Andre Marriner,Match Report,
2020-06-25,20:15 (15:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,0.8,3.2,65,,Fernandinho,4-3-3-0,Stuart Attwell,Match Report,
2020-07-02,20:15 (15:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,2.4,1.1,47,,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,
2020-07-05,19:00 (14:00),Matchweek 33,Sun,Away,L,0,1,Southampton,3.2,0.6,73,,David Silva,4-3-3-0,Andre Marriner,Match Report,
2020-07-08,18:00 (13:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,2.8,0.3,73,,David Silva,4-3-3-0,Andy Madley,Match Report,
2020-07-11,20:00 (15:00),Matchweek 35,Sat,Away,W,5,0,Brighton,4.4,0.2,70,,Kevin De Bruyne,4-3-3-0,Graham Scott,Match Report,
2020-07-15,18:00 (13:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,0.7,1.6,71,,David Silva,4-2-3-1,Lee Mason,Match Report,
2020-07-21,18:00 (13:00),Matchweek 37,Tue,Away,W,4,0,Watford,3.3,0.1,76,,Kevin De Bruyne,4-3-3-0,Michael Oliver,Match Report,
2020-07-26,16:00 (11:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,3.2,1,73,,David Silva,4-3-3-0,Craig Pawson,Match Report,
2020-09-21,20:15 (15:15),Matchweek 2,Mon,Away,W,3,1,Wolves,1.9,0.6,65,,Fernandinho,4-2-3-1,Andre Marriner,Match Report,
2020-09-27,16:30 (11:30),Matchweek 3,Sun,Home,L,2,5,Leicester City,0.9,2.9,72,,Fernandinho,4-2-3-1,Michael Oliver,Match Report,
2020-10-03,17:30 (12:30),Matchweek 4,Sat,Away,D,1,1,Leeds United,1.2,2.4,49,,Kevin De Bruyne,4-3-3-0,Mike Dean,Match Report,
2020-10-17,17:30 (12:30),Matchweek 5,Sat,Home,W,1,0,Arsenal,1.3,0.9,58,,Raheem Sterling,3-1-4-2,Chris Kavanagh,Match Report,
2020-10-24,12:30 (07:30),Matchweek 6,Sat,Away,D,1,1,West Ham,1,0.3,69,,Raheem Sterling,4-3-3-0,Anthony Taylor,Match Report,
2020-10-31,12:30 (08:30),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.6,0.5,65,,Kevin De Bruyne,4-3-3-0,Michael Oliver,Match Report,
2020-11-08,16:30 (11:30),Matchweek 8,Sun,Home,D,1,1,Liverpool,1.4,1.2,54,,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,
2020-11-21,17:30 (12:30),Matchweek 9,Sat,Away,L,0,2,Tottenham,1.4,0.7,66,,Kevin De Bruyne,4-3-3-0,Mike Dean,Match Report,
2020-11-28,15:00 (10:00),Matchweek 10,Sat,Home,W,5,0,Burnley,1.7,0.5,68,,Kevin De Bruyne,4-2-3-1,Lee Mason,Match Report,
2020-12-05,15:00 (10:00),Matchweek 11,Sat,Home,W,2,0,Fulham,2.9,0.3,69,,Kevin De Bruyne,4-2-3-1,Jonathan Moss,Match Report,
2020-12-12,17:30 (12:30),Matchweek 12,Sat,Away,D,0,0,Manchester Utd,1.3,0.6,54,,Fernandinho,4-2-3-1,Chris Kavanagh,Match Report,
2020-12-15,20:00 (15:00),Matchweek 13,Tue,Home,D,1,1,West Brom,2.2,0.4,77,,Kevin De Bruyne,4-2-3-1,Peter Bankes,Match Report,
2020-12-19,15:00 (10:00),Matchweek 14,Sat,Away,W,1,0,Southampton,0.9,0.7,52,,Kevin De Bruyne,4-2-3-1,Mike Dean,Match Report,
2020-12-26,20:00 (15:00),Matchweek 15,Sat,Home,W,2,0,Newcastle Utd,3,0.3,74,,Kevin De Bruyne,3-4-3-0,Andre Marriner,Match Report,
2021-01-03,16:30 (11:30),Matchweek 17,Sun,Away,W,3,1,Chelsea,2.7,0.8,46,,Kevin De Bruyne,4-3-3-0,Anthony Taylor,Match Report,
2021-01-13,18:00 (13:00),Matchweek 18,Wed,Home,W,1,0,Brighton,2,0.2,65,,Kevin De Bruyne,4-3-3-0,Darren England,Match Report,
2021-01-17,19:15 (14:15),Matchweek 19,Sun,Home,W,4,0,Crystal Palace,0.7,0.1,71,,Fernandinho,4-3-3-0,Lee Mason,Match Report,
2021-01-20,18:00 (13:00),Matchweek 1,Wed,Home,W,2,0,Aston Villa,3.4,0.6,69,,Kevin De Bruyne,4-3-3-0,Jonathan Moss,Match Report,
2021-01-26,20:15 (15:15),Matchweek 20,Tue,Away,W,5,0,West Brom,1.8,0.5,77,,Raheem Sterling,4-3-3-0,Chris Kavanagh,Match Report,
2021-01-30,15:00 (10:00),Matchweek 21,Sat,Home,W,1,0,Sheffield Utd,1.5,0.2,75,,Fernandinho,4-3-3-0,David Coote,Match Report,
2021-02-03,18:00 (13:00),Matchweek 22,Wed,Away,W,2,0,Burnley,2,0.1,74,,Raheem Sterling,4-3-3-0,Martin Atkinson,Match Report,
2021-02-07,16:30 (11:30),Matchweek 23,Sun,Away,W,4,1,Liverpool,3.5,1.2,44,,Raheem Sterling,4-3-3-0,Michael Oliver,Match Report,
