,Confirmed,Deaths,Recovered,Active,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Israel,63985,474,27133,36378,0.74,42.41,1.75,52003,11982,23.04,Europe
Italy,246286,35112,198593,12581,14.26,80.64,17.68,244624,1662,0.68,Europe
Jamaica,853,10,714,129,1.17,83.7,1.4,809,44,5.44,Americas
Japan,31142,998,21970,8174,3.2,70.55,4.54,25706,5436,21.15,Western Pacific
Jordan,1176,11,1041,124,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean
Kazakhstan,84648,585,54404,29659,0.69,64.27,1.08,73468,11180,15.22,Europe
Kenya,17975,285,7833,9857,1.59,43.58,3.64,13771,4204,30.53,Africa
Kosovo,7413,185,4027,3201,2.5,54.32,4.59,5877,1536,26.14,Europe
Kuwait,64379,438,55057,8884,0.68,85.52,0.8,59763,4616,7.72,Eastern Mediterranean
Kyrgyzstan,33296,1301,21205,10790,3.91,63.69,6.14,27143,6153,22.67,Europe
Laos,20,0,19,1,0,95,0,19,1,5.26,Western Pacific
Latvia,1219,31,1045,143,2.54,85.73,2.97,1192,27,2.27,Europe
Lebanon,3882,51,1709,2122,1.31,44.02,2.98,2905,977,33.63,Eastern Mediterranean
Lesotho,505,12,128,365,2.38,25.35,9.38,359,146,40.67,Africa
Liberia,1167,72,646,449,6.17,55.36,11.15,1107,60,5.42,Africa
Libya,2827,64,577,2186,2.26,20.41,11.09,1980,847,42.78,Eastern Mediterranean
Liechtenstein,86,1,81,4,1.16,94.19,1.23,86,0,0,Europe
Lithuania,2019,80,1620,319,3.96,80.24,4.94,1947,72,3.7,Europe
Luxembourg,6321,112,4825,1384,1.77,76.33,2.32,5639,682,12.09,Europe
Madagascar,9690,91,6260,3339,0.94,64.6,1.45,7153,2537,35.47,Africa
Malawi,3664,99,1645,1920,2.7,44.9,6.02,2992,672,22.46,Africa
Malaysia,8904,124,8601,179,1.39,96.6,1.44,8800,104,1.18,Western Pacific
Maldives,3369,15,2547,807,0.45,75.6,0.59,2999,370,12.34,South-East Asia
Mali,2513,124,1913,476,4.93,76.12,6.48,2475,38,1.54,Africa
Malta,701,9,665,27,1.28,94.86,1.35,677,24,3.55,Europe
Mauritania,6208,156,4653,1399,2.51,74.95,3.35,5923,285,4.81,Africa
Mauritius,344,10,332,2,2.91,96.51,3.01,343,1,0.29,Africa
Mexico,395489,44022,303810,47657,11.13,76.82,14.49,349396,46093,13.19,Americas
Moldova,23154,748,16154,6252,3.23,69.77,4.63,21115,2039,9.66,Europe
Monaco,116,4,104,8,3.45,89.66,3.85,109,7,6.42,Europe
Mongolia,289,0,222,67,0,76.82,0,287,2,0.7,Western Pacific
Montenegro,2893,45,809,2039,1.56,27.96,5.56,2188,705,32.22,Europe
Morocco,20887,316,16553,4018,1.51,79.25,1.91,17562,3325,18.93,Eastern Mediterranean
Mozambique,1701,11,0,1690,0.65,0,inf,1507,194,12.87,Africa
Namibia,1843,8,101,1734,0.43,5.48,7.92,1344,499,37.13,Africa
Nepal,18752,48,13754,4950,0.26,73.35,0.35,17844,908,5.09,South-East Asia
